Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
66,The Photograph,"2,06,90,779","2,05,78,185",99.50%,"1,12,594",0.50%,2020
67,Threads 0 Our Tapestry of Love,"2,04,74,270",0,0,"2,04,74,270",100%,2020
68,Brahms: The Boy II,"2,03,11,536","1,26,11,536",62.10%,"77,00,000",37.90%,2020
69,Violet Evergarden: The Movie,"2,03,02,668",0,0,"2,03,02,668",100%,2020
70,Interstellar 2020 Re0release,"1,99,90,000",0,0,"1,99,90,000",100%,2020
71,Ice 2,"1,97,88,995",0,0,"1,97,88,995",100%,2020
72,Soul Snatcher,"1,95,61,221",0,0,"1,95,61,221",100%,2020
73,The Turning,"1,94,28,166","1,54,72,775",79.60%,"39,55,391",20.40%,2020
74,Fate/stay night [Heaven's Feel] III. spring song,"1,92,52,497","2,00,000",1%,"1,90,52,497",99%,2020
75,Promising Young Woman,"1,88,54,166","64,60,965",34.30%,"1,23,93,201",65.70%,2020
76,Takizawa Enbujo Zero,"1,80,91,395",0,0,"1,80,91,395",100%,2020
77,Freaky,"1,80,73,433","90,30,855",50%,"90,42,578",50%,2020
78,The Promised Neverland,"1,77,10,977",0,0,"1,77,10,977",100%,2020
79,Kaiji: Final Game,"1,76,45,779",0,0,"1,76,45,779",100%,2020
80,Hitman: Agent Jun,"1,76,01,351",0,0,"1,76,01,351",100%,2020
81,Digimon Adventure: Last Evolution Kizuna,"1,73,61,009",0,0,"1,73,61,009",100%,2020
82,Bye Bye Morons,"1,69,55,924",0,0,"1,69,55,924",100%,2020
83,Baaghi 3,"1,67,26,510","7,21,439",4.30%,"1,60,05,071",95.70%,2020
84,I Still Believe,"1,60,69,730","98,68,521",61.40%,"62,01,209",38.60%,2020
85,The Way Back,"1,54,90,514","1,35,90,514",87.70%,"19,00,000",12.30%,2020
86,Father There is Only One 2,"1,53,73,181",0,0,"1,53,73,181",100%,2020
87,The Personal History of David Copperfield,"1,43,99,270","18,76,298",13%,"1,25,22,972",87%,2020
88,Nightlife,"1,43,08,789",0,0,"1,43,08,789",100%,2020
89,Pawn,"1,41,93,957",0,0,"1,41,93,957",100%,2020
90,The Post 2020 Re0release,"1,39,95,207",0,0,"1,39,95,207",100%,2020
91,#Alive,"1,34,32,212",0,0,"1,34,32,212",100%,2020
92,Howling Village,"1,33,94,556",0,0,"1,33,94,556",100%,2020
93,Come Play,"1,31,82,254","1,04,75,990",79.50%,"27,06,264",20.50%,2020
94,Samjin Company English Class,"1,27,61,386",0,0,"1,27,61,386",100%,2020
95,Another Round,"1,27,45,392",0,0,"1,27,42,455",100%,2020
96,News of the World,"1,26,68,325","1,26,68,325",100%,0,0,2020
97,Collectors,"1,26,40,113",0,0,"1,26,40,113",100%,2020
98,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"1,22,21,804",0,0,"1,22,21,804",100%,2020
99,Ducobu 3,"1,21,57,793",0,0,"1,21,57,793",100%,2020
100,The Asadas,"1,18,88,743",0,0,"1,18,88,743",100%,2020
101,Wotakoi: Love Is Hard for Otaku,"1,17,02,371",0,0,"1,17,02,371",100%,2020
102,Bigfoot Family,"1,11,26,309",0,0,"1,11,26,309",100%,2020
103,30 jours max,"1,10,07,713",0,0,"1,10,07,713",100%,2020
104,The Voice of Sin,"1,09,83,063",0,0,"1,09,83,063",100%,2020
105,Two by Two: Overboard!,"1,08,85,076",0,0,"1,08,85,076",100%,2020
106,Let Him Go,"1,08,35,686","93,58,025",86.40%,"14,77,661",13.60%,2020
107,One Second,"1,07,91,301",0,0,"1,07,91,301",100%,2020
108,Me contro Te 0 Il film: La vendetta del Signor S,"1,07,79,891",0,0,"1,07,79,891",100%,2020
109,Impractical Jokers: The Movie,"1,06,91,091","1,06,91,091",100%,0,0,2020
110,Honest Candidate,"1,05,97,464",0,0,"1,05,97,464",100%,2020
111,The Hunt,"1,05,50,350","58,12,500",55.10%,"47,37,850",44.90%,2020
112,Street Dancer 3D,"1,03,39,127",0,0,"1,03,39,127",100%,2020
113,My Spy,"1,02,00,000",0,0,"1,02,00,000",100%,2020
114,100% Wolf,"97,66,489","6,58,764",6.70%,"91,07,725",93.30%,2020
115,Stolen Identity 2,"96,87,188",0,0,"96,87,188",100%,2020
116,Inception 10th Anniversary re0release,"95,81,100",0,0,"95,81,100",100%,2020
117,10 Days with Dad,"94,72,077","2,359",0,"94,69,718",100%,2020
118,Secret Zoo,"94,71,940",0,0,"94,71,940",100%,2020
119,365 Days,"94,58,590",0,0,"94,58,590",100%,2020
120,Okay Madam,"94,33,525",0,0,"94,33,525",100%,2020
121,L'appel de la forêt,"93,17,347",0,0,"93,17,347",100%,2020
122,The Closet,"91,89,552",0,0,"91,89,552",100%,2020
123,Malasaña 32,"89,68,845",0,0,"89,68,845",100%,2020
124,Break the Silence: The Movie,"89,54,345",0,0,"89,54,345",100%,2020
125,I Hate Summer,"89,26,071",0,0,"89,26,071",100%,2020
126,Downhill,"88,99,195","82,87,061",93.10%,"6,12,134",6.90%,2020
127,Les blagues de Toto,"88,59,185",0,0,"88,59,185",100%,2020
128,The Secret Garden,"87,21,243",0,0,"87,21,243",100%,2020
129,Eltilerin Savasi,"86,13,864",0,0,"86,13,864",100%,2020
130,Malang,"83,99,765",0,0,"83,99,765",100%,2020
131,Your Eyes Tell,"80,20,474",0,0,"80,20,474",100%,2020
132,"My Donkey, My Lover & I","79,74,769","1,52,184",1.90%,"78,21,615",98.10%,2020
133,AI Amok,"79,32,191",0,0,"79,32,191",100%,2020
134,The Lost Prince,"78,37,980",0,0,"78,37,980",100%,2020
135,Antebellum,"77,92,716",0,0,"77,92,716",100%,2020
136,The Marriage Escape,"77,60,946",0,0,"77,60,946",100%,2020
137,Spirited Away Studio Ghibli Fest 2020,"77,32,697",0,0,"77,32,435",100%,2020
138,Princess Mononoke Studio Ghibli Fest 2020,"76,73,800",0,0,"76,73,207",100%,2020
139,The Heist of the Century,"76,27,100",0,0,"76,27,100",100%,2020
140,De Gaulle,"75,01,454",0,0,"75,01,454",100%,2020
141,Fukushima 50,"74,94,243",0,0,"74,94,243",100%,2020
142,The Best Years,"73,58,771",0,0,"73,58,771",100%,2020
143,Bohemian Rhapsody 2020 Re0release,"71,58,262","2,40,000",3.40%,"69,14,052",96.60%,2020
144,The (UN)perfect Guy,"71,54,649",0,0,"71,54,649",100%,2020
145,Spycies,"71,28,952",0,0,"71,28,952",100%,2020
146,Back to the Wharf,"70,90,000",0,0,"70,90,000",100%,2020
147,Adu,"70,85,946",0,0,"70,85,946",100%,2020
148,Fatale,"70,31,289","63,06,897",89.70%,"7,24,392",10.30%,2020
149,Dragon Rider,"69,77,378",0,0,"69,77,378",100%,2020
150,Jim Button and the Wild 13,"69,33,267",0,0,"69,33,267",100%,2020
151,Psy 3: W imie zasad,"67,25,146",0,0,"67,25,146",100%,2020
152,Blood Moon Party,"67,09,383",0,0,"67,09,383",100%,2020
153,Innocence,"66,88,330",0,0,"66,59,968",99.60%,2020
154,Shubh Mangal Zyada Saavdhan,"65,74,905",0,0,"65,74,905",100%,2020
155,Chhapaak,"65,32,100","6,04,334",9.30%,"59,27,766",90.70%,2020
156,"Love Me, Love Me Not","64,94,241",0,0,"64,94,241",100%,2020
157,Hammamet,"64,34,874",0,0,"64,34,874",100%,2020
158,Lindenberg! Mach dein Ding,"64,04,964",0,0,"64,04,964",100%,2020
159,Midnight Swan,"63,97,065",0,0,"63,97,065",100%,2020
160,Nausicaä of the Valley of the Wind 2020 Re0release,"63,95,525",0,0,"63,95,525",100%,2020
161,Simply Black,"63,23,750",0,0,"63,23,750",100%,2020
162,My Boyfriend's Meds,"62,92,780","29,71,116",47.20%,"33,21,664",52.80%,2020
163,Bill & Ted Face the Music,"62,74,027","34,39,660",54.80%,"28,34,367",45.20%,2020
164,Hotel Belgrade,"61,89,882",0,0,"61,89,882",100%,2020
165,How to Be a Good Wife,"60,33,430",0,0,"60,33,430",100%,2020
166,The Legacy of Dr. Death: Black File,"60,24,046",0,0,"60,24,046",100%,2020
167,A Piece of Cake,"60,08,448",0,0,"60,08,448",100%,2020
168,The Rhythm Section,"59,89,583","54,37,971",90.80%,"5,51,612",9.20%,2020
169,How I Became a Gangster,"59,75,729",0,0,"59,75,729",100%,2020
170,The Innocent,"59,29,392","22,549",0.40%,"59,06,843",99.60%,2020
171,Twiceborn,"58,80,157","11,527",0.20%,"58,68,630",99.80%,2020
172,The Royal Bride,"58,30,719",0,0,"58,30,719",100%,2020
173,Beasts Clawing at Straws,"57,96,059",0,0,"57,96,059",100%,2020
174,The Lion King 2020 Re0release,"57,73,266",0,0,"57,73,266",100%,2020
175,Last Letter,"56,63,972",0,0,"56,63,972",100%,2020
176,Yowamushi Pedal: The Movie 2020 Re0release,"56,24,218",0,0,"56,24,218",100%,2020
177,Hocus Pocus 2020 Re0release,"56,09,193","48,28,000",86.10%,"7,81,193",13.90%,2020
178,Klassikokkutulek 2: Pulmad ja matused,"55,43,147",0,0,"55,43,147",100%,2020
179,Mama Weed,"54,61,144","29,151",0.50%,"54,31,993",99.50%,2020
180,Divorce Club,"53,16,313",0,0,"53,16,313",100%,2020
181,Cats & Dogs 3: Paws Unite,"53,00,000",0,0,"53,00,000",100%,2020
182,Cindy La Regia,"52,22,322",0,0,"52,22,322",100%,2020
183,Run,"51,84,368",0,0,"51,84,368",100%,2020
184,Love Aaj Kal,"51,20,794",0,0,"51,20,794",100%,2020
185,Masked Ward,"51,07,013",0,0,"51,07,013",100%,2020
186,Ayyappanum Koshiyum,"50,88,713",0,0,"50,88,713",100%,2020
187,Baba Parasi,"50,84,342",0,0,"50,84,342",100%,2020
188,Die Känguru0Chroniken,"50,81,127",0,0,"50,81,127",100%,2020
189,The Real Exorcist,"50,35,830",0,0,"50,35,830",100%,2020
190,Mayday,"50,11,408",0,0,"50,11,408",100%,2020
191,Bheeshma,"49,97,080",0,0,"49,97,080",100%,2020
192,Made in Abyss: Dawn of the Deep Soul,"49,71,635",0,0,"49,71,635",100%,2020
193,Godai 0 The Wunderkind,"49,48,225",0,0,"49,48,225",100%,2020
194,Military Wives,"48,90,505",0,0,"48,90,505",100%,2020
195,Panga,"48,86,124","5,82,720",11.90%,"43,03,404",88.10%,2020
196,The Tales for Old and Young,"48,53,143",0,0,"48,53,143",100%,2020
197,Streltsov,"48,50,073",0,0,"48,50,073",100%,2020
198,Persian Lessons,"48,49,240",0,0,"48,49,240",100%,2020
199,The SpongeBob Movie: Sponge on the Run,"48,10,790","48,10,790",100%,0,0,2020
0,Spider0Man: No Way Home,"1,91,22,33,593","80,47,93,477",42.10%,"1,10,74,40,116",57.90%,2021
1,The Battle at Lake Changjin,"90,25,48,476","3,42,411",0,"90,22,06,065",100%,2021
2,"Hi, Mom","82,20,09,764",0,0,"82,20,09,764",100%,2021
3,No Time to Die,"77,41,53,007","16,08,91,007",20.80%,"61,32,62,000",79.20%,2021
4,F9: The Fast Saga,"72,62,29,501","17,30,05,945",23.80%,"55,32,23,556",76.20%,2021
5,Detective Chinatown 3,"68,62,57,563",0,0,"68,62,57,563",100%,2021
6,Venom: Let There Be Carnage,"50,68,63,592","21,35,50,366",42.10%,"29,33,13,226",57.90%,2021
7,Godzilla vs. Kong,"47,01,16,094","10,09,16,094",21.50%,"36,92,00,000",78.50%,2021
8,Shang0Chi and the Legend of the Ten Rings,"43,22,43,292","22,45,43,292",51.90%,"20,77,00,000",48.10%,2021
9,Sing 2,"40,84,02,685","16,27,90,990",39.90%,"24,56,11,695",60.10%,2021
10,Eternals,"40,20,64,899","16,48,70,234",41%,"23,71,94,665",59%,2021
11,Dune: Part One,"40,20,27,830","10,83,27,830",26.90%,"29,37,00,000",73.10%,2021
12,Black Widow,"37,97,51,655","18,36,51,655",48.40%,"19,61,00,000",51.60%,2021
13,Free Guy,"33,15,26,598","12,16,26,598",36.70%,"20,99,00,000",63.30%,2021
14,A Quiet Place Part II,"29,73,72,261","16,00,72,261",53.80%,"13,73,00,000",46.20%,2021
15,Encanto,"25,67,86,742","9,60,93,622",37.40%,"16,06,93,120",62.60%,2021
16,Cruella,"23,35,03,234","8,61,03,234",36.90%,"14,74,00,000",63.10%,2021
17,"My Country, My Parents","22,18,31,086","1,77,133",0,"22,16,53,953",99.90%,2021
18,Jungle Cruise,"22,08,89,446","11,69,87,516",53%,"10,39,01,930",47%,2021
19,The Conjuring: The Devil Made Me Do It,"20,64,31,050","6,56,31,050",31.80%,"14,08,00,000",68.20%,2021
20,Raging Fire,"20,58,42,393","3,85,305",0.20%,"20,54,57,088",99.80%,2021
21,Ghostbusters: Afterlife,"20,43,34,455","12,93,60,575",63.30%,"7,49,73,880",36.70%,2021
22,Chinese Doctors,"19,71,43,218",0,0,"19,71,43,218",100%,2021
23,Cliff Walkers,"18,13,25,565","1,52,972",0,"18,11,72,593",99.90%,2021
24,The Suicide Squad,"16,87,17,425","5,58,17,425",33.10%,"11,29,00,000",66.90%,2021
25,Jujutsu Kaisen 0,"16,67,60,828","3,45,42,754",20.70%,"13,22,18,074",79.30%,2021
26,Space Jam: A New Legacy,"16,36,92,228","7,05,92,228",43.10%,"9,31,00,000",56.90%,2021
27,The Matrix Resurrections,"15,73,86,805","3,76,86,805",23.90%,"11,97,00,000",76.10%,2021
28,Peter Rabbit 2: The Runaway,"15,39,01,717","4,05,01,717",26.30%,"11,34,00,000",73.70%,2021
29,House of Gucci,"15,32,69,161","5,38,09,574",35.10%,"9,94,59,587",64.90%,2021
30,A Writer's Odyssey,"15,01,23,320","1,60,013",0.10%,"14,99,63,307",99.90%,2021
31,The Boss Baby 2: Family Business,"14,67,45,280","5,73,00,280",39%,"8,94,45,000",61%,2021
32,PAW Patrol: The Movie,"14,43,27,371","4,01,27,371",27.80%,"10,42,00,000",72.20%,2021
33,Tom & Jerry,"13,65,36,687","4,65,36,687",34.10%,"9,00,00,000",65.90%,2021
34,Be Somebody,"13,23,26,332",0,0,"13,23,26,332",100%,2021
35,Halloween Kills,"13,16,47,155","9,20,02,155",69.90%,"3,96,45,000",30.10%,2021
36,Raya and the Last Dragon,"13,04,23,032","5,47,23,032",42%,"7,57,00,000",58%,2021
37,Sister,"12,83,17,206",0,0,"12,83,17,206",100%,2021
38,The King's Man,"12,58,97,478","3,71,76,373",29.50%,"8,87,21,105",70.50%,2021
39,The Addams Family 2,"11,98,15,153","5,64,89,153",47.10%,"6,33,26,000",52.90%,2021
40,My Love,"11,67,20,921","86,252",0,"11,66,34,669",99.90%,2021
41,Clifford the Big Red Dog,"10,73,47,356","4,89,47,356",45.60%,"5,84,00,000",54.40%,2021
42,Wrath of Man,"10,39,66,489","2,74,66,489",26.40%,"7,65,00,000",73.60%,2021
43,Detective Conan: The Scarlet Bullet,"9,53,71,578",0,0,"9,53,71,578",100%,2021
44,Evangelion: 3.0+1.01 Thrice Upon a Time,"9,38,82,453","8,10,744",0.90%,"9,30,71,709",99.10%,2021
45,End Game,"9,18,24,961","23,149",0,"9,18,01,812",100%,2021
46,Old,"9,01,46,510","4,82,76,510",53.60%,"4,18,70,000",46.40%,2021
47,Mortal Kombat,"8,44,26,031","4,23,26,031",50.10%,"4,21,00,000",49.90%,2021
48,Boonie Bears: The Wild Life,"7,81,32,231",0,0,"7,81,32,231",100%,2021
49,Candyman,"7,74,11,570","6,11,86,570",79%,"1,62,25,000",21%,2021
50,The Forever Purge,"7,69,94,245","4,45,39,245",57.80%,"3,24,55,000",42.20%,2021
51,West Side Story,"7,60,16,171","3,85,30,322",50.70%,"3,74,85,849",49.30%,2021
52,1921,"7,51,59,828",0,0,"7,51,59,828",100%,2021
53,Hitman's Wife's Bodyguard,"7,00,60,492","3,80,14,727",54.30%,"3,20,45,765",45.70%,2021
54,Escape Room: Tournament of Champions,"6,57,74,490","2,53,14,753",38.50%,"4,04,59,737",61.50%,2021
55,Belle,"6,46,79,830","40,18,313",6.20%,"6,06,61,517",93.80%,2021
56,Ron's Gone Wrong,"6,06,92,022","2,30,09,270",37.90%,"3,76,82,752",62.10%,2021
57,Cloudy Mountain,"5,83,48,836",0,0,"5,83,48,836",100%,2021
58,Avatar 2021 Re0release,"5,79,95,770",0,0,"5,79,95,770",100%,2021
59,Nobody,"5,75,10,518","2,75,68,035",47.90%,"2,99,42,483",52.10%,2021
60,New Gods: Nezha Reborn,"5,60,88,478",0,0,"5,60,88,478",100%,2021
61,Upcoming,"5,43,00,000",0,0,"5,43,00,000",100%,2021
62,Don't Breathe 2,"5,37,85,551","3,27,12,950",60.80%,"2,10,72,601",39.20%,2021
63,Man in Love,"5,29,46,097",0,0,"5,29,46,097",100%,2021
64,Break Through the Darkness,"5,27,00,000",0,0,"5,27,00,000",100%,2021
65,Schemes in Antiques,"5,16,37,422","36,501",0,"5,16,00,921",99.90%,2021
66,Luca,"5,10,74,773","13,24,302",2.60%,"4,97,50,471",97.40%,2021
67,Belfast,"4,91,58,709","92,50,870",18.80%,"3,99,07,839",81.20%,2021
68,My Hero Academia: World Heroes' Mission,"4,69,40,541","1,22,71,658",26.10%,"3,46,68,883",73.90%,2021
69,The French Dispatch,"4,63,33,545","1,61,24,375",34.80%,"3,02,09,170",65.20%,2021
70,In the Heights,"4,51,75,167","2,99,75,167",66.40%,"1,52,00,000",33.60%,2021
71,Love Will Tear Us Apart,"4,50,60,290",0,0,"4,50,60,290",100%,2021
72,Spirit Untamed,"4,27,17,215","1,77,16,215",41.50%,"2,50,01,000",58.50%,2021
73,Resident Evil: Welcome to Raccoon City,"4,19,14,915","1,70,00,612",40.60%,"2,49,14,303",59.40%,2021
74,Spiral,"4,06,18,920","2,32,16,862",57.20%,"1,74,02,058",42.80%,2021
75,Snake Eyes,"4,00,64,325","2,82,64,325",70.50%,"1,18,00,000",29.50%,2021
76,Tokyo Revengers,"3,97,14,624",0,0,"3,97,14,624",100%,2021
77,Nightmare Alley,"3,96,29,195","1,13,38,107",28.60%,"2,82,91,088",71.40%,2021
78,Nomadland,"3,94,58,207","37,00,000",9.40%,"3,57,58,207",90.60%,2021
79,King Richard,"3,94,29,285","1,51,29,285",38.40%,"2,43,00,000",61.60%,2021
80,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"3,80,52,695",0,0,"3,80,52,695",100%,2021
81,The Yinyang Master,"3,76,90,000",0,0,"3,76,90,000",100%,2021
82,Rurouni Kenshin: Final Chapter Part I 0 The Final,"3,69,64,978",0,0,"3,69,64,978",100%,2021
83,The Door Lock,"3,61,00,000",0,0,"3,61,00,000",100%,2021
84,We Made a Beautiful Bouquet,"3,50,42,879",0,0,"3,50,42,879",100%,2021
85,Malignant,"3,48,91,791","1,33,91,791",38.40%,"2,15,00,000",61.60%,2021
86,Licorice Pizza,"3,32,76,075","1,73,18,007",52%,"1,59,58,068",48%,2021
87,Respect,"3,28,82,823","2,42,78,399",73.80%,"86,04,424",26.20%,2021
88,Big Red Envelope,"3,28,00,000",0,0,"3,28,00,000",100%,2021
89,Masquerade Night,"3,22,87,400",0,0,"3,22,87,400",100%,2021
90,Once Upon a Time in Hong Kong,"3,22,18,874",0,0,"3,22,18,874",100%,2021
91,Home Sweet Home,"3,21,78,677",0,0,"3,21,78,677",100%,2021
92,The Little Things,"3,08,42,746","1,53,42,746",49.70%,"1,55,00,000",50.30%,2021
93,The Unholy,"3,08,32,137","1,55,32,137",50.40%,"1,53,00,000",49.60%,2021
94,The Last Duel,"3,05,52,111","1,08,53,945",35.50%,"1,96,98,166",64.50%,2021
95,Escape from Mogadishu,"2,99,02,716","3,46,271",1.20%,"2,95,56,445",98.80%,2021
96,Master,"2,86,92,230",0,0,"2,86,92,230",100%,2021
97,The Last Warrior: Root of Evil,"2,83,57,398",0,0,"2,83,57,398",100%,2021
98,The Last Warrior: A Messenger of Darkness,"2,70,52,365",0,0,"2,70,52,365",100%,2021
99,American Underdog,"2,65,14,814","2,65,14,814",100%,0,0,2021
100,Chaos Walking,"2,65,08,132","1,32,87,908",50.10%,"1,32,20,224",49.90%,2021
101,The Courier,"2,60,01,227","66,13,432",25.40%,"1,93,87,795",74.60%,2021
102,Spencer,"2,52,46,967","70,86,632",28.10%,"1,81,60,335",71.90%,2021
103,Parallel Mothers,"2,30,99,858","22,97,501",9.90%,"2,08,02,357",90.10%,2021
104,The Marksman,"2,30,76,711","1,55,66,093",67.50%,"75,10,618",32.50%,2021
105,99.9 Criminal Lawyer: The Movie,"2,30,55,069",0,0,"2,30,55,069",100%,2021
106,Last Night in Soho,"2,29,57,625","1,01,27,625",44.10%,"1,28,30,000",55.90%,2021
107,The Day We Lit Up the Sky,"2,25,00,000",0,0,"2,25,00,000",100%,2021
108,School of Magical Animals,"2,20,29,698","2,88,414",1.30%,"2,17,41,284",98.70%,2021
109,Kaamelott: First Installment,"2,19,79,122","1,88,000",0.90%,"2,17,91,122",99.10%,2021
110,After We Fell,"2,17,53,705","21,70,750",10%,"1,95,82,955",90%,2021
111,Rurouni Kenshin: Final Chapter Part II 0 The Beginning,"2,13,18,560",0,0,"2,13,18,560",100%,2021
112,Wish Dragon,"2,11,20,000",0,0,"2,11,20,000",100%,2021
113,Crayon Shin0chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"2,07,52,104",0,0,"2,07,52,104",100%,2021
114,Stillwater,"1,97,54,272","1,44,65,535",73.20%,"52,88,737",26.80%,2021
115,The Wolf and the Lion,"1,95,10,578","20,72,173",10.60%,"1,74,38,405",89.40%,2021
116,Les Tuche 4,"1,92,59,766",0,0,"1,92,59,766",100%,2021
117,Dear Evan Hansen,"1,91,33,454","1,50,02,646",78.40%,"41,30,808",21.60%,2021
118,Those Who Wish Me Dead,"1,91,07,200","74,07,200",38.80%,"1,17,00,000",61.20%,2021
119,The Pioneer,"1,89,00,000",0,0,"1,89,00,000",100%,2021
120,The Green Knight,"1,88,87,953","1,71,73,321",90.90%,"17,14,632",9.10%,2021
121,Antlers,"1,88,67,659","1,06,19,670",56.30%,"82,47,989",43.70%,2021
122,Sinkhole,"1,88,16,801",0,0,"1,88,16,801",100%,2021
123,Mobile Suit Gundam: Hathaway,"1,87,31,309",0,0,"1,87,31,309",100%,2021
124,The Stronghold,"1,80,66,143",0,0,"1,80,66,143",100%,2021
125,"Dad, I'm Sorry","1,74,80,489","3,50,000",2%,"1,71,30,489",98%,2021
126,Gintama: The Final,"1,72,52,960",0,0,"1,72,52,960",100%,2021
127,Railway Heroes,"1,72,23,704",0,0,"1,72,23,704",100%,2021
128,Your Turn to Kill,"1,65,11,822",0,0,"1,65,11,822",100%,2021
129,Cry Macho,"1,65,10,734","1,03,10,734",62.40%,"62,00,000",37.60%,2021
130,Reminiscence,"1,64,00,193","39,00,193",23.80%,"1,25,00,000",76.20%,2021
131,Legend No. 17,"1,60,96,860",0,0,"1,60,96,860",100%,2021
132,Upon the Magic Roads,"1,59,90,882",0,0,"1,59,90,882",100%,2021
133,Harry Potter and the Sorcerer's Stone 2021 Re0release,"1,55,91,681","7,99,342",5.10%,"1,46,04,379",93.70%,2021
134,The Dry,"1,55,76,286","3,64,237",2.30%,"1,52,12,049",97.70%,2021
135,The Night House,"1,54,37,703","71,00,581",46%,"83,37,122",54%,2021
136,Drive My Car,"1,53,56,410","23,52,240",15.30%,"1,30,04,170",84.70%,2021
137,Minari,"1,52,88,578","31,10,580",20.30%,"1,21,77,998",79.70%,2021
138,Something About Love,"1,52,04,017",0,0,"1,52,04,017",100%,2021
139,Anita,"1,50,17,470","5,56,632",3.70%,"1,44,60,838",96.30%,2021
140,And So the Baton Is Passed,"1,44,03,588",0,0,"1,44,03,588",100%,2021
141,The Tomorrow War,"1,44,00,000",0,0,"1,44,00,000",100%,2021
142,Sword Art Online: Progressive 0 Aria of a Starless Night,"1,40,32,747","10,50,000",7.50%,"1,29,82,747",92.50%,2021
143,Christmas with the Chosen: The Messengers,"1,37,28,000","1,37,28,000",100%,0,0,2021
144,Eiffel,"1,35,73,923","4,44,814",3.30%,"1,31,29,109",96.70%,2021
145,OSS 117: From Africa with Love,"1,34,57,801",0,0,"1,34,57,801",100%,2021
146,Hostage: Missing Celebrity,"1,31,74,292",0,0,"1,31,74,292",100%,2021
147,Vakeel Saab,"1,30,56,490",0,0,"1,30,56,490",100%,2021
148,The Many Saints of Newark,"1,30,37,403","82,37,403",63.20%,"48,00,000",36.80%,2021
149,The Monkey King: Reborn,"1,30,17,088",0,0,"1,30,17,088",100%,2021
150,No Escapes,"1,29,16,151",0,0,"1,29,16,151",100%,2021
151,The Bodin's in the Land of Smile,"1,28,72,253",0,0,"1,28,72,253",100%,2021
152,The Worst Person in the World,"1,26,87,507","30,34,775",23.90%,"96,52,732",76.10%,2021
153,Character,"1,26,28,017",0,0,"1,26,28,017",100%,2021
154,On Your Mark,"1,21,00,000",0,0,"1,21,00,000",100%,2021
155,On the Line,"1,20,58,986",0,0,"1,20,58,986",100%,2021
156,Stand by Me,"1,19,00,000",0,0,"1,19,00,000",100%,2021
157,The Fable: The Killer Who Doesn't Kill,"1,13,25,545",0,0,"1,13,25,545",100%,2021
158,What Did You Eat Yesterday?,"1,13,20,893",0,0,"1,13,20,893",100%,2021
159,Aline,"1,11,49,943","6,67,815",6%,"1,04,82,128",94%,2021
160,Krack,"1,04,42,916",0,0,"1,04,42,916",100%,2021
161,Realm of Terracotta,"1,03,63,914",0,0,"1,03,63,914",100%,2021
162,Kaiserschmarrndrama,"1,03,57,720",0,0,"1,03,57,720",100%,2021
163,"Caution, Hazardous Wife: The Movie","1,03,56,359",0,0,"1,03,56,359",100%,2021
164,Detective Conan: The Scarlet Alibi,"1,03,08,627",0,0,"1,03,08,627",100%,2021
165,Never Stop,"1,02,24,935",0,0,"1,02,24,935",100%,2021
166,Ainbo,"1,01,72,403",0,0,"1,01,72,403",100%,2021
167,Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,"97,42,510",0,0,"97,42,510",100%,2021
168,Black Box,"97,38,741",0,0,"97,38,741",100%,2021
169,The Soul,"96,00,000",0,0,"96,00,000",100%,2021
170,¡A todo tren! Destino Asturias,"95,44,171",0,0,"95,44,171",100%,2021
171,Baragaki: Unbroken Samurai,"94,81,437",0,0,"94,81,437",100%,2021
172,Dad,"92,67,397",0,0,"92,67,397",100%,2021
173,The Lord of the Rings: The Fellowship of the Ring 2021 Re0release,"89,90,599",0,0,"83,77,569",93.20%,2021
174,All About My Mother,"89,00,000",0,0,"89,00,000",100%,2021
175,The Eleventh Chapter,"88,44,997",0,0,"88,44,997",100%,2021
176,The Medium,"88,26,689",0,0,"88,26,689",100%,2021
177,The Vault,"88,03,864",0,0,"88,03,864",100%,2021
178,Kaguya0sama: Love Is War,"87,94,981",0,0,"87,94,981",100%,2021
179,Moonbound,"87,49,618",0,0,"87,49,618",100%,2021
180,The Protégé,"87,37,253","74,46,823",85.20%,"12,90,430",14.80%,2021
181,Lost Illusions,"86,35,184","1,26,391",1.50%,"85,08,793",98.50%,2021
182,Agent Backkom: King's Bear,"86,19,446",0,0,"86,19,446",100%,2021
183,Pil's Adventures,"85,67,345",0,0,"85,67,345",100%,2021
184,Honey Lemon Soda,"84,41,488",0,0,"84,41,488",100%,2021
185,Delicious,"83,71,523",0,0,"83,71,523",100%,2021
186,I Don't Have Any Money Left in My Retirement Account,"82,04,616",0,0,"82,04,616",100%,2021
187,Girls to Buy,"81,77,284",0,0,"81,77,284",100%,2021
188,Green Snake,"81,70,000",0,0,"81,70,000",100%,2021
189,New Happy Dad and Son 4,"80,70,000",0,0,"80,70,000",100%,2021
190,Sunny Sisters,"78,80,000",0,0,"78,80,000",100%,2021
191,Contra,"77,62,797",0,0,"77,62,797",100%,2021
192,Hard Hit,"76,58,021",0,0,"76,58,021",100%,2021
193,Little Canned Men,"76,00,000",0,0,"76,00,000",100%,2021
